GW,FL,ISA,N1,LBS/H/ENG,KG/H/ENG,NM/100KG,MACH,IAS,TAS
50,290,20,77.9,2231.07544,1012,200.2,0.657,251,405
50,290,15,77.1,2211.23386,1003,200.4,0.658,252,402
50,290,10,76.4,2191.39228,994,200.5,0.66,252,399
50,290,0,74.8,2151.70912,976,200.6,0.662,253,392
50,100,20,60.7,2387.60346,1083,134.6,0.44,243,291
50,100,15,60,2352.32954,1067,135,0.439,243,288
50,100,10,59.4,2321.46486,1053,135.4,0.439,242,285
50,100,0,58.3,2266.34936,1028,136.2,0.439,242,280
52,290,20,78.5,2290.60018,1039,196.6,0.662,253,409
52,290,15,77.7,2270.7586,1030,196.8,0.664,254,405
52,290,10,76.9,2248.7124,1020,196.9,0.665,254,402
52,290,0,75.3,2204.62,1000,197.2,0.666,255,394
52,100,20,64,2660.97634,1207,132.1,0.482,267,319
52,100,15,62.3,2546.3361,1155,132.5,0.467,258,306
52,100,10,61.1,2466.96978,1119,132.9,0.457,253,297
52,100,0,59.5,2369.9665,1075,133.7,0.45,249,287
54,290,20,79,2345.71568,1064,193.1,0.666,255,411
54,290,15,78.3,2323.66948,1054,193.4,0.667,255,408
54,290,10,77.4,2297.21404,1042,193.6,0.668,255,404
54,290,0,75.8,2253.12164,1022,193.9,0.669,256,396
54,100,20,66.3,2854.9829,1295,129.8,0.508,281,336
54,100,15,65.3,2793.25354,1267,130.1,0.503,278,330
54,100,10,63.9,2705.06874,1227,130.5,0.493,273,320
54,100,0,61.9,2581.61002,1171,131.3,0.482,267,308
56,290,20,79.7,2416.26352,1096,189.4,0.673,258,415
56,290,15,78.9,2394.21732,1086,189.7,0.674,258,412
56,290,10,78.1,2367.76188,1074,190,0.675,258,408
56,290,0,76.5,2317.05562,1051,190.4,0.676,259,400
56,100,20,67.1,2921.1215,1325,128.4,0.514,285,340
56,100,15,66.5,2899.0753,1315,128.4,0.515,285,338
56,100,10,65.7,2863.80138,1299,128.5,0.513,284,334
56,100,0,63.6,2733.7288,1240,129.1,0.502,278,320
58,290,20,80.5,2497.83446,1133,185.7,0.682,261,421
58,290,15,79.7,2473.58364,1122,186,0.683,262,417
58,290,10,78.9,2444.92358,1109,186.3,0.683,262,413
58,290,0,77.2,2394.21732,1086,186.6,0.685,263,406
58,100,20,67.6,2969.62314,1347,127.2,0.518,287,343
58,100,15,67.2,2960.80466,1343,127.1,0.52,288,341
58,100,10,66.5,2934.34922,1331,127.1,0.52,288,338
58,100,0,64.6,2828.52746,1283,127.5,0.513,284,327
60,290,20,81.3,2583.81464,1172,182,0.691,265,426
60,290,15,80.5,2555.15458,1159,182.3,0.692,265,422
60,290,10,79.6,2524.2899,1145,182.7,0.692,265,418
60,290,0,78,2473.58364,1122,183,0.694,266,411
60,100,20,68.3,3031.3525,1375,125.8,0.523,290,346
60,100,15,67.8,3013.71554,1367,125.8,0.525,291,344
60,100,10,67.3,3000.48782,1361,125.7,0.526,292,342
60,100,0,65.6,2912.30302,1321,126,0.521,289,333
62,290,20,82.1,2665.38558,1209,178.5,0.7,268,432
62,290,15,81.2,2632.31628,1194,178.9,0.699,268,427
62,290,10,80.4,2603.65622,1181,179.2,0.7,269,423
62,290,0,78.7,2552.94996,1158,179.6,0.703,270,416
62,100,20,69.1,3104.10496,1408,124.5,0.53,294,350
62,100,15,68.5,3082.05876,1398,124.5,0.531,294,348
62,100,10,68,3064.4218,1390,124.5,0.532,295,346
62,100,0,66.5,2993.87396,1358,124.6,0.53,294,338
64,290,20,82.9,2755.775,1250,175.1,0.709,273,438
64,290,15,82,2722.7057,1235,175.5,0.71,273,433
64,290,10,81.2,2694.04564,1222,175.8,0.711,273,430
64,290,0,79.5,2638.93014,1197,176.3,0.713,274,422
64,100,20,69.8,3168.03894,1437,123.2,0.535,297,354
64,100,15,69.2,3148.19736,1428,123.2,0.536,297,352
64,100,10,68.7,3128.35578,1419,123.2,0.538,298,349
64,100,0,67.3,3071.03566,1393,123.2,0.538,298,343
66,290,20,83.6,2848.36904,1292,171.8,0.719,277,444
66,290,15,82.7,2813.09512,1276,172.2,0.72,277,439
66,290,10,81.9,2784.43506,1263,172.5,0.721,277,436
66,290,0,80.2,2722.7057,1235,173.1,0.723,278,428
66,100,20,70.5,3234.17754,1467,121.9,0.541,300,358
66,100,15,70,3214.33596,1458,121.9,0.542,300,355
66,100,10,69.4,3190.08514,1447,121.9,0.543,301,353
66,100,0,68.2,3145.99274,1427,121.9,0.545,302,348
68,290,20,84.1,2934.34922,1331,168.6,0.727,280,449
68,290,15,83.3,2901.27992,1316,168.9,0.728,280,445
68,290,10,82.4,2868.21062,1301,169.3,0.729,280,440
68,290,0,80.7,2804.27664,1272,170,0.73,281,432
68,100,20,71.2,3298.11152,1496,120.7,0.546,303,361
68,100,15,70.6,3276.06532,1486,120.7,0.547,303,359
68,100,10,70,3251.8145,1475,120.7,0.548,304,356
68,100,0,68.8,3203.31286,1453,120.7,0.55,305,351
70,290,20,84.7,3029.14788,1374,165.4,0.736,284,454
70,290,15,83.9,2993.87396,1358,165.8,0.737,284,450
70,290,10,83,2958.60004,1342,166.1,0.738,284,446
70,290,0,81.3,2890.25682,1311,166.8,0.739,285,437
70,100,20,71.9,3362.0455,1525,119.5,0.551,305,364
70,100,15,71.3,3335.59006,1513,119.5,0.552,306,362
70,100,10,70.7,3311.33924,1502,119.6,0.553,306,359
70,100,0,69.4,3260.63298,1479,119.6,0.554,307,354
72,290,20,85.3,3119.5373,1415,162.4,0.745,287,460
72,290,15,84.4,3084.26338,1399,162.8,0.746,288,455
72,290,10,83.6,3046.78484,1382,163.2,0.746,288,451
72,290,0,81.8,2971.82776,1348,163.9,0.747,288,442
72,100,20,72.3,3412.75176,1548,118.3,0.554,307,366
72,100,15,71.7,3386.29632,1536,118.4,0.554,308,364
72,100,10,71.1,3359.84088,1524,118.4,0.555,308,361
72,100,0,69.8,3306.93,1500,118.4,0.557,309,355
74,290,20,85.8,3205.51748,1454,159.6,0.752,290,464
74,290,15,84.9,3168.03894,1437,160,0.753,291,460
74,290,10,84.1,3130.5604,1420,160.4,0.753,291,455
74,290,0,82.3,3051.19408,1384,161.1,0.753,291,446
74,100,20,72.6,3454.63954,1567,117.2,0.555,308,367
74,100,15,72,3425.97948,1554,117.2,0.556,308,364
74,100,10,71.4,3399.52404,1542,117.3,0.556,309,362
74,100,0,70.1,3346.61316,1518,117.3,0.558,310,356
76,290,20,86.3,3293.70228,1494,156.7,0.759,293,468
76,290,15,85.5,3256.22374,1477,157.1,0.76,294,464
76,290,10,84.6,3218.7452,1460,157.5,0.761,294,460
76,290,0,82.8,3137.17426,1423,158.3,0.761,294,450
76,100,20,72.9,3494.3227,1585,116,0.556,308,368
76,100,15,72.3,3465.66264,1572,116.1,0.557,309,365
76,100,10,71.6,3437.00258,1559,116.2,0.557,309,362
76,100,0,70.3,1.1794717,0.535,116.3,0.559,310,357
78,290,20,86.9,3384.0917,1535,153.9,0.766,296,473
