FL,WEIGHT (LBS),WEIGHT (KG),TIME (MIN),FUEL (KG),FUEL (LBS),DIST (NM),N1,IAS (KT)
390,99.20801799,45,16.1,204,449.74248,101,68.8,241
370,99.20801799,45,14.6,174,383.60388,89,69.9,252
350,99.20801799,45,12.9,134,295.41908,77,72.1,264
330,99.20801799,45,12,119,262.34978,70,IDLE,277
310,99.20801799,45,11.6,117,257.94054,67,IDLE,289
290,99.20801799,45,11.1,114,251.32668,64,IDLE,300
270,99.20801799,45,10.6,110,242.5082,59,IDLE,300
250,99.20801799,45,10,107,235.89434,55,IDLE,300
240,99.20801799,45,9.7,105,231.4851,53,IDLE,300
220,99.20801799,45,9.1,100,220.462,49,IDLE,300
200,99.20801799,45,8.5,94,207.23428,45,IDLE,300
180,99.20801799,45,7.8,86,189.59732,40,IDLE,300
160,99.20801799,45,7.1,78,171.96036,36,IDLE,300
140,99.20801799,45,6.3,67,147.70954,31,IDLE,300
120,99.20801799,45,5.6,57,125.66334,27,IDLE,300
100,99.20801799,45,4.9,48,105.82176,23,IDLE,300
50,99.20801799,45,1.7,15,33.0693,7,IDLE,250
15,99.20801799,45,0,0,0,0,IDLE,250
390,110.2311311,50,16.425,194.25,428.247435,102.25,69.9,241
370,110.2311311,50,15.125,170.5,375.88771,91.75,72.1,252
350,110.2311311,50,13.675,139.5,307.54449,81.5,IDLE,264
330,110.2311311,50,12.85,127.5,281.08905,75.25,IDLE,277
310,110.2311311,50,12.4,125,275.5775,71.75,IDLE,289
290,110.2311311,50,11.875,121.75,268.412485,68.5,IDLE,300
270,110.2311311,50,11.3,117.75,259.594005,63.25,IDLE,300
250,110.2311311,50,10.675,114.25,251.877835,59,IDLE,300
240,110.2311311,50,10.35,112,246.91744,56.75,IDLE,300
220,110.2311311,50,9.7,106.75,235.343185,52.25,IDLE,300
200,110.2311311,50,9.025,100.25,221.013155,47.75,IDLE,300
180,110.2311311,50,8.3,91.75,202.273885,42.75,IDLE,300
160,110.2311311,50,7.525,82.75,182.432305,38.25,IDLE,300
140,110.2311311,50,6.7,71,156.52802,33,IDLE,300
120,110.2311311,50,5.925,60.25,132.828355,28.5,IDLE,300
100,110.2311311,50,5.175,50.5,111.33331,24.25,IDLE,300
50,110.2311311,50,1.8,15.75,34.722765,7.5,IDLE,250
15,110.2311311,50,0,0,0,0,IDLE,250
390,121.2542442,55,16.75,184.5,406.75239,103.5,72.1,241
370,121.2542442,55,15.65,167,368.17154,94.5,IDLE,252
350,121.2542442,55,14.45,145,319.6699,86,IDLE,264
330,121.2542442,55,13.7,136,299.82832,80.5,IDLE,277
310,121.2542442,55,13.2,133,293.21446,76.5,IDLE,289
290,121.2542442,55,12.65,129.5,285.49829,73,IDLE,300
270,121.2542442,55,12,125.5,276.67981,67.5,IDLE,300
250,121.2542442,55,11.35,121.5,267.86133,63,IDLE,300
240,121.2542442,55,11,119,262.34978,60.5,IDLE,300
220,121.2542442,55,10.3,113.5,250.22437,55.5,IDLE,300
200,121.2542442,55,9.55,106.5,234.79203,50.5,IDLE,300
180,121.2542442,55,8.8,97.5,214.95045,45.5,IDLE,300
160,121.2542442,55,7.95,87.5,192.90425,40.5,IDLE,300
140,121.2542442,55,7.1,75,165.3465,35,IDLE,300
120,121.2542442,55,6.25,63.5,139.99337,30,IDLE,300
100,121.2542442,55,5.45,53,116.84486,25.5,IDLE,300
50,121.2542442,55,1.9,16.5,36.37623,8,IDLE,250
15,121.2542442,55,0,0,0,0,IDLE,250
390,132.2773573,60,17.075,174.75,385.257345,104.75,IDLE,241
370,132.2773573,60,16.175,163.5,360.45537,97.25,IDLE,252
350,132.2773573,60,15.225,150.5,331.79531,90.5,IDLE,264
330,132.2773573,60,14.55,144.5,318.56759,85.75,IDLE,277
310,132.2773573,60,14,141,310.85142,81.25,IDLE,289
290,132.2773573,60,13.425,137.25,302.584095,77.5,IDLE,300
270,132.2773573,60,12.7,133.25,293.765615,71.75,IDLE,300
250,132.2773573,60,12.025,128.75,283.844825,67,IDLE,300
240,132.2773573,60,11.65,126,277.78212,64.25,IDLE,300
220,132.2773573,60,10.9,120.25,265.105555,58.75,IDLE,300
200,132.2773573,60,10.075,112.75,248.570905,53.25,IDLE,300
180,132.2773573,60,9.3,103.25,227.627015,48.25,IDLE,300
160,132.2773573,60,8.375,92.25,203.376195,42.75,IDLE,300
140,132.2773573,60,7.5,79,174.16498,37,IDLE,300
120,132.2773573,60,6.575,66.75,147.158385,31.5,IDLE,300
100,132.2773573,60,5.725,55.5,122.35641,26.75,IDLE,300
50,132.2773573,60,2,17.25,38.029695,8.5,IDLE,250
15,132.2773573,60,0,0,0,0,IDLE,250
390,143.3004704,65,17.4,165,363.7623,106,IDLE,241
370,143.3004704,65,16.7,160,352.7392,100,IDLE,252
350,143.3004704,65,16,156,343.92072,95,IDLE,264
330,143.3004704,65,15.4,153,337.30686,91,IDLE,277
310,143.3004704,65,14.8,149,328.48838,86,IDLE,289
290,143.3004704,65,14.2,145,319.6699,82,IDLE,300
270,143.3004704,65,13.4,141,310.85142,76,IDLE,300
250,143.3004704,65,12.7,136,299.82832,71,IDLE,300
240,143.3004704,65,12.3,133,293.21446,68,IDLE,300
220,143.3004704,65,11.5,127,279.98674,62,IDLE,300
200,143.3004704,65,10.6,119,262.34978,56,IDLE,300
180,143.3004704,65,9.8,109,240.30358,51,IDLE,300
160,143.3004704,65,8.8,97,213.84814,45,IDLE,300
140,143.3004704,65,7.9,83,182.98346,39,IDLE,300
120,143.3004704,65,6.9,70,154.3234,33,IDLE,300
100,143.3004704,65,6,58,127.86796,28,IDLE,300
50,143.3004704,65,2.1,18,39.68316,9,IDLE,250
15,143.3004704,65,0,0,0,0,IDLE,250
